iter	CatBoostEvalMetricCustom	Logloss
101	0.769661411	0.2739691237
102	0.7692564799	0.2736698007
103	0.7700281387	0.2732743963
104	0.76995123	0.2729861195
105	0.7698611516	0.2727158031
106	0.7705300439	0.2724191566
107	0.7706038807	0.2721368588
108	0.7700710348	0.2718844655
109	0.7701173251	0.2715909267
110	0.7700073361	0.2712964354
111	0.7704724093	0.2710186801
112	0.7708314413	0.270731452
113	0.77099233	0.2704865029
114	0.7716589582	0.2702055516
115	0.7715497788	0.2699623264
116	0.7718889023	0.2697426201
117	0.771729403	0.269489913
118	0.7716455427	0.2692651895
119	0.7718216791	0.2690357139
120	0.7716452033	0.2687758923
121	0.7713784333	0.26855836
122	0.7716192042	0.2683600322
123	0.7717261328	0.2681851397
124	0.7723261064	0.2679447094
125	0.7722373864	0.2677137297
126	0.7724400902	0.2675148592
127	0.7726350228	0.2672662975
128	0.7728286464	0.2670608539
129	0.7728575392	0.2669009064
130	0.7733615838	0.2666892749
131	0.7725455092	0.2665065476
132	0.7729735156	0.266326212
133	0.7726554882	0.2661256934
134	0.7732695564	0.265979064
135	0.7730747337	0.2658220487
136	0.773210041	0.2656355778
137	0.7738079819	0.2654330289
138	0.7737063756	0.2652738436
139	0.7745606738	0.2650707714
140	0.7746548261	0.2649218137
141	0.7750181726	0.2647474358
142	0.7751487147	0.2645802886
143	0.775104088	0.2644044669
144	0.7755165462	0.2642894067
145	0.7753216248	0.2641389083
146	0.7756111534	0.2639744342
147	0.775839711	0.2638143963
148	0.7762869128	0.2637015744
149	0.7766686647	0.2635780913
150	0.7763044449	0.2634519998
151	0.7767261796	0.2633224318
152	0.7768564113	0.2631821668
153	0.7769471965	0.2630480785
154	0.7771397831	0.2629208287
155	0.7773635092	0.2627826809
156	0.7771998979	0.2626238772
157	0.7776785917	0.2625167791
158	0.7776086397	0.2623809403
159	0.7777346931	0.2622656284
160	0.7778925377	0.26213407
161	0.7782802778	0.2620096182
162	0.7782477185	0.2618799676
163	0.7786923699	0.2617573731
164	0.7786652092	0.2615991243
165	0.7789797098	0.2614980762
166	0.7792319233	0.26138325
167	0.7792906238	0.2612577395
168	0.7791470106	0.261174396
169	0.7794659576	0.2610567814
170	0.7797242424	0.2609231079
171	0.7799160702	0.2608094439
172	0.7800186596	0.2606725379
173	0.7801750836	0.2605645832
174	0.7803961746	0.2604385713
175	0.7803584072	0.2603237659
176	0.7801896555	0.2602183992
177	0.7805169295	0.2600933775
178	0.7809034918	0.2599884382
179	0.781061191	0.2598930081
180	0.781185965	0.2597835873
181	0.7811757949	0.25969858
182	0.7812962438	0.2596036152
183	0.7814522051	0.2595072697
184	0.7816085699	0.2594006416
185	0.7815728508	0.2592929373
186	0.781826094	0.2591932069
187	0.7817497221	0.2591023093
188	0.781315482	0.259021826
189	0.7817658126	0.2589248263
190	0.7818209866	0.2588297166
191	0.7818553725	0.2587141902
192	0.7818785325	0.2586294348
193	0.7819676827	0.2585413122
194	0.7821818841	0.2584505642
195	0.7821745748	0.2583675203
196	0.7822083048	0.2582609875
197	0.7823245401	0.2581882594
198	0.7824577935	0.2580709647
199	0.7826056422	0.2579806447
