iter	Passed	Remaining
127	11783	126306
128	11874	126204
129	11966	126105
130	12057	126001
131	12153	125957
132	12245	125863
133	12338	125773
134	12429	125680
135	12520	125575
136	12611	125473
137	12703	125375
138	12794	125279
139	12895	125267
140	12982	125127
141	13071	125003
142	13164	124923
143	13253	124799
144	13342	124678
145	13432	124569
146	13522	124465
147	13613	124361
148	13705	124270
149	13798	124186
150	13885	124050
151	13973	123923
152	14061	123796
153	14149	123671
154	14244	123608
155	14337	123520
156	14424	123392
157	14513	123270
158	14604	123175
159	14692	123047
160	14790	123009
161	14893	123008
162	14984	122909
163	15075	122810
164	15167	122721
165	15260	122638
166	15349	122522
167	15437	122398
168	15524	122268
169	15622	122224
170	15712	122116
171	15801	122005
172	15892	121904
173	15983	121802
174	16072	121688
175	16158	121557
176	16257	121520
177	16349	121425
178	16450	121405
179	16540	121299
180	16632	121202
181	16722	121100
182	16810	120980
183	16902	120889
184	16990	120770
185	17078	120649
186	17169	120553
187	17260	120452
188	17353	120375
189	17444	120277
190	17535	120179
191	17628	120090
192	17731	120080
193	17821	119972
194	17912	119877
195	18012	119836
196	18100	119721
197	18190	119613
198	18277	119490
199	18378	119458
200	18465	119336
201	18553	119220
202	18655	119194
203	18759	119178
204	18851	119087
205	18940	118975
206	19027	118851
207	19115	118737
208	19213	118685
209	19301	118569
210	19393	118475
211	19483	118369
212	19571	118256
213	19659	118140
214	19762	118118
215	19852	118009
216	19939	117892
217	20041	117860
218	20129	117744
219	20219	117639
220	20308	117533
221	20400	117442
222	20493	117355
223	20583	117251
224	20674	117156
225	20764	117051
226	20853	116945
227	20940	116826
228	21028	116710
229	21117	116603
230	21206	116497
231	21296	116395
232	21388	116304
233	21482	116227
234	21572	116126
235	21664	116035
236	21756	115943
237	21846	115838
238	21937	115744
239	22025	115633
240	22115	115534
241	22205	115433
242	22297	115342
243	22385	115227
244	22476	115135
245	22569	115048
246	22655	114930
247	22746	114831
248	22834	114721
249	22935	114675
250	23023	114566
251	23112	114461
252	23215	114425
253	23303	114315
254	23391	114205
255	23479	114097
256	23574	114021
257	23665	113925
258	23756	113831
259	23845	113726
260	23933	113617
261	24023	113513
262	24126	113477
263	24217	113382
264	24310	113297
265	24412	113251
266	24499	113137
267	24590	113041
268	24691	112995
269	24781	112893
270	24869	112782
271	24958	112678
272	25047	112574
273	25136	112472
274	25234	112409
275	25322	112297
276	25409	112188
277	25498	112082
278	25591	111996
279	25685	111915
280	25780	111837
281	25868	111731
282	25970	111683
283	26060	111582
284	26163	111537
285	26253	111441
286	26347	111358
287	26438	111262
288	26530	111171
289	26631	111116
290	26727	111043
291	26821	110959
292	26910	110856
293	26998	110750
294	27087	110644
295	27176	110541
296	27266	110444
297	27357	110347
298	27459	110298
299	27549	110196
300	27639	110100
301	27736	110029
302	27828	109936
303	27916	109829
304	28008	109736
305	28104	109663
306	28192	109556
307	28292	109497
308	28380	109388
309	28467	109278
310	28559	109188
311	28648	109084
312	28749	109027
313	28842	108938
314	28944	108886
315	29045	108828
316	29133	108723
317	29223	108621
318	29310	108513
319	29398	108408
320	29489	108311
321	29580	108217
322	29671	108123
323	29767	108044
324	29858	107951
325	29947	107849
326	30036	107745
327	30125	107643
328	30215	107544
329	30304	107443
330	30393	107342
331	30480	107231
332	30569	107130
333	30657	107024
334	30745	106921
335	30837	106829
336	30926	106728
337	31014	106623
338	31103	106522
339	31204	106463
340	31293	106361
341	31383	106262
342	31470	106157
343	31559	106053
344	31647	105951
345	31738	105857
346	31829	105760
347	31921	105670
348	32009	105567
349	32098	105465
350	32186	105362
351	32274	105258
352	32361	105150
353	32448	105045
354	32535	104938
355	32623	104836
356	32712	104735
357	32807	104655
358	32900	104566
359	32991	104472
360	33080	104372
361	33169	104274
362	33260	104180
363	33347	104075
364	33436	103975
365	33524	103871
366	33615	103777
367	33705	103682
368	33792	103576
369	33880	103472
370	33974	103388
371	34064	103291
372	34151	103187
373	34240	103086
374	34327	102982
375	34418	102889
376	34507	102789
377	34596	102691
378	34684	102588
379	34773	102489
380	34861	102389
381	34966	102335
382	35068	102275
383	35172	102218
384	35258	102112
385	35349	102019
386	35442	101931
387	35537	101849
388	35642	101796
389	35731	101698
390	35822	101604
391	35913	101509
392	36007	101425
393	36097	101328
394	36186	101229
395	36274	101127
396	36361	101024
397	36461	100956
398	36551	100859
399	36640	100761
400	36730	100664
401	36818	100565
402	36906	100462
403	36995	100363
404	37089	100279
405	37176	100175
406	37265	100076
407	37353	99976
408	37465	99937
409	37595	99948
410	37708	99914
411	37813	99857
412	37918	99800
413	38005	99696
414	38111	99641
415	38216	99584
416	38306	99487
417	38397	99391
418	38487	99296
419	38577	99198
420	38668	99104
421	38761	99015
422	38853	98924
423	38949	98842
424	39050	98775
425	39155	98714
426	39247	98623
427	39349	98557
428	39450	98489
429	39540	98391
430	39628	98290
431	39718	98191
432	39819	98124
433	39909	98025
434	40000	97931
435	40092	97840
436	40186	97753
437	40287	97683
438	40388	97612
439	40475	97509
440	40564	97409
441	40653	97310
442	40744	97215
443	40833	97118
444	40925	97024
445	41013	96923
446	41115	96855
447	41206	96761
448	41295	96662
449	41384	96563
450	41474	96468
451	41576	96399
452	41664	96296
453	41756	96204
454	41846	96109
455	41942	96025
456	42037	95940
457	42127	95844
458	42226	95768
459	42318	95676
460	42406	95574
461	42493	95473
462	42581	95370
463	42669	95270
464	42767	95192
465	42857	95096
466	42959	95027
467	43047	94926
468	43148	94853
469	43255	94794
470	43344	94695
471	43433	94595
472	43523	94500
473	43614	94405
474	43703	94308
475	43792	94208
476	43879	94105
477	43967	94004
478	44057	93909
479	44149	93818
480	44241	93724
481	44336	93639
482	44424	93539
483	44512	93439
484	44602	93343
485	44690	93242
486	44780	93146
487	44870	93050
488	44962	92958
489	45053	92866
490	45155	92794
491	45243	92693
492	45336	92603
493	45426	92508
494	45517	92413
495	45619	92342
496	45718	92264
497	45811	92175
498	45905	92087
499	45996	91993
500	46092	91909
501	46198	91844
502	46290	91751
503	46395	91686
504	46498	91616
505	46587	91516
506	46678	91423
507	46785	91359
508	46884	91282
509	46997	91230
510	47094	91147
511	47187	91057
512	47284	90974
513	47391	90910
514	47491	90832
515	47602	90777
516	47701	90696
517	47806	90628
518	47924	90585
519	48034	90526
520	48130	90441
521	48230	90362
522	48336	90296
523	48436	90218
524	48542	90149
525	48648	90082
526	48767	90039
527	48879	89983
528	48996	89934
529	49150	89954
530	49260	89893
531	49378	89847
532	49482	89773
533	49578	89686
534	49670	89592
535	49762	89498
536	49850	89396
537	49941	89299
538	50031	89202
539	50117	89098
540	50207	88999
541	50295	88898
542	50385	88800
543	50477	88706
544	50571	88615
545	50661	88517
546	50749	88417
547	50838	88317
548	50925	88215
549	51014	88116
550	51110	88027
551	51198	87928
552	51287	87828
553	51378	87732
554	51469	87636
555	51572	87561
556	51665	87468
557	51753	87369
558	51855	87292
559	51944	87193
560	52034	87095
561	52128	87004
562	52229	86925
563	52317	86824
564	52405	86724
565	52496	86629
566	52587	86532
567	52680	86440
568	52769	86342
569	52860	86246
570	52954	86155
571	53057	86079
572	53145	85979
573	53236	85883
574	53324	85782
575	53415	85687
576	53504	85587
577	53593	85489
578	53689	85402
579	53781	85308
580	53869	85207
581	53957	85108
582	54058	85028
583	54160	84950
584	54248	84850
585	54337	84751
586	54424	84649
587	54511	84549
588	54598	84447
589	54689	84352
590	54782	84259
591	54871	84160
592	54959	84061
593	55048	83963
594	55139	83867
595	55231	83773
596	55317	83671
597	55402	83567
598	55492	83470
599	55581	83371
600	55686	83297
601	55782	83210
602	55888	83137
603	55981	83044
604	56071	82948
605	56166	82859
606	56257	82764
607	56351	82673
608	56445	82583
609	56541	82494
610	56636	82405
611	56732	82317
612	56842	82249
613	56932	82153
614	57025	82061
615	57130	81985
616	57226	81898
617	57320	81806
618	57413	81714
619	57509	81625
620	57599	81529
621	57691	81436
622	57787	81347
623	57886	81263
624	57984	81178
625	58089	81103
626	58183	81010
627	58274	80915
628	58381	80843
629	58472	80747
630	58561	80649
631	58650	80551
632	58737	80451
633	58833	80362
634	58925	80269
635	59013	80169
636	59104	80074
637	59206	79993
638	59292	79892
639	59380	79792
640	59468	79692
641	59557	79595
642	59649	79501
643	59742	79409
644	59833	79313
645	59927	79223
646	60018	79128
647	60107	79030
648	60196	78932
649	60302	78856
650	60393	78761
651	60481	78663
652	60570	78565
653	60662	78471
654	60757	78382
655	60852	78291
656	60944	78198
657	61048	78120
658	61151	78039
659	61238	77940
660	61326	77841
661	61444	77780
662	61570	77728
663	61677	77654
664	61780	77573
665	61868	77475
666	61956	77375
667	62050	77283
668	62140	77188
669	62228	77089
670	62317	76991
671	62406	76893
672	62495	76796
673	62586	76701
674	62679	76608
675	62769	76512
676	62860	76416
677	62948	76317
678	63039	76222
679	63130	76128
680	63220	76031
681	63316	75942
682	63409	75850
683	63500	75755
684	63592	75661
685	63683	75566
686	63776	75473
687	63881	75395
688	63971	75298
689	64061	75202
690	64154	75110
691	64244	75013
692	64333	74916
693	64422	74818
694	64515	74726
695	64602	74627
696	64690	74529
697	64780	74432
698	64869	74334
699	64958	74238
700	65047	74141
701	65141	74050
702	65232	73955
703	65334	73872
704	65421	73773
705	65519	73686
706	65610	73591
707	65699	73494
708	65787	73395
709	65874	73296
710	65961	73198
711	66049	73099
712	66140	73004
713	66232	72911
714	66323	72816
715	66411	72719
716	66501	72622
717	66601	72538
718	66690	72441
719	66789	72355
720	66877	72257
721	66965	72159
722	67054	72062
723	67144	71966
724	67237	71874
725	67325	71777
726	67412	71677
727	67513	71594
728	67602	71497
729	67692	71401
730	67795	71319
731	67882	71220
732	67970	71122
733	68058	71026
734	68148	70930
735	68242	70838
736	68332	70743
737	68434	70659
738	68523	70563
739	68612	70466
740	68698	70367
741	68787	70270
742	68875	70173
743	68976	70089
744	69065	69992
745	69154	69895
746	69245	69801
747	69340	69710
748	69433	69618
749	69524	69524
750	69628	69442
751	69725	69354
752	69826	69270
753	69914	69172
754	70016	69089
755	70119	69006
756	70207	68908
757	70299	68815
758	70393	68723
759	70484	68629
760	70573	68533
761	70662	68436
762	70752	68341
763	70844	68247
764	70934	68152
765	71023	68056
766	71111	67959
767	71201	67863
768	71291	67769
769	71387	67679
770	71478	67584
771	71570	67491
772	71663	67398
773	71752	67303
774	71854	67218
775	71942	67121
776	72032	67026
777	72123	66932
778	72210	66833
779	72297	66736
780	72392	66645
781	72486	66553
782	72577	66459
783	72667	66364
784	72768	66279
785	72856	66182
786	72956	66096
787	73056	66010
788	73160	65927
789	73248	65831
790	73337	65735
791	73431	65643
792	73526	65552
793	73631	65470
794	73718	65372
795	73806	65275
796	73896	65180
797	73986	65086
798	74077	64991
799	74169	64898
800	74260	64803
801	74347	64706
802	74435	64609
803	74528	64516
804	74617	64421
805	74720	64337
806	74820	64251
807	74908	64153
808	74997	64058
809	75086	63962
810	75175	63866
811	75265	63771
812	75352	63674
813	75443	63580
814	75537	63488
815	75626	63392
816	75716	63298
817	75804	63201
818	75894	63106
819	75982	63009
820	76072	62914
821	76164	62821
822	76265	62735
823	76352	62638
824	76443	62544
825	76534	62450
826	76628	62359
827	76716	62262
828	76805	62167
829	76893	62070
830	76980	61973
831	77067	61876
832	77156	61781
833	77247	61686
834	77335	61590
835	77424	61494
836	77513	61399
837	77613	61312
838	77705	61220
839	77798	61127
840	77889	61033
841	77978	60938
842	78067	60842
843	78156	60746
844	78257	60661
845	78345	60564
846	78436	60470
847	78532	60380
848	78623	60287
849	78716	60195
850	78806	60100
851	78896	60006
852	78984	59909
853	79072	59813
854	79163	59719
855	79250	59623
856	79342	59529
857	79430	59434
858	79518	59338
859	79614	59248
860	79710	59157
861	79797	59061
862	79885	58965
863	79975	58871
864	80064	58775
865	80152	58679
866	80241	58584
867	80329	58488
868	80417	58393
869	80506	58297
870	80597	58204
871	80689	58111
872	80784	58020
873	80875	57926
874	80967	57833
875	81058	57740
876	81146	57644
877	81233	57547
878	81320	57451
879	81407	57355
880	81495	57259
881	81588	57167
882	81678	57073
883	81778	56986
884	81877	56897
885	81967	56803
886	82056	56709
887	82147	56615
888	82237	56521
889	82327	56426
890	82419	56333
891	82510	56240
892	82601	56146
893	82690	56052
894	82780	55958
895	82873	55865
896	82961	55769
897	83049	55674
898	83140	55580
899	83232	55488
900	83320	55393
901	83408	55297
902	83497	55202
903	83586	55108
904	83679	55015
905	83769	54921
906	83864	54831
907	83955	54737
908	84044	54642
909	84134	54548
910	84221	54453
911	84310	54357
912	84397	54262
913	84485	54166
914	84576	54073
915	84672	53983
916	84759	53887
917	84847	53792
918	84939	53699
919	85028	53604
920	85115	53509
921	85207	53416
922	85295	53320
923	85384	53226
924	85472	53131
925	85560	53036
926	85649	52941
927	85738	52847
928	85830	52754
929	85920	52660
930	86011	52567
931	86112	52480
932	86201	52385
933	86289	52290
934	86375	52194
935	86467	52102
936	86557	52008
937	86648	51915
938	86749	51828
939	86842	51736
940	86940	51647
941	87050	51564
942	87141	51471
943	87235	51380
944	87325	51286
945	87416	51193
946	87506	51099
947	87597	51006
948	87697	50917
949	87788	50824
950	87880	50732
951	87968	50637
952	88073	50552
953	88161	50457
954	88250	50363
955	88342	50269
956	88432	50176
957	88523	50083
958	88614	49990
959	88707	49897
960	88797	49804
961	88885	49709
962	88973	49614
963	89064	49521
964	89151	49425
965	89257	49341
966	89359	49254
967	89448	49159
968	89537	49065
969	89630	48973
970	89718	48878
971	89817	48789
972	89903	48694
973	89990	48598
974	90083	48506
975	90173	48412
976	90260	48317
977	90346	48221
978	90434	48126
979	90521	48031
980	90622	47944
981	90713	47851
982	90802	47756
983	90894	47664
984	90984	47570
985	91075	47477
986	91169	47386
987	91258	47291
988	91346	47197
989	91435	47103
990	91527	47010
991	91615	46915
992	91702	46820
993	91802	46732
994	91890	46638
995	91979	46543
996	92066	46448
997	92159	46356
998	92251	46264
999	92339	46169
1000	92427	46075
1001	92514	45980
1002	92602	45885
1003	92696	45794
1004	92790	45703
1005	92886	45612
1006	92976	45518
1007	93063	45423
1008	93150	45328
1009	93240	45235
1010	93330	45142
1011	93420	45048
1012	93507	44953
1013	93598	44860
1014	93689	44767
1015	93786	44677
1016	93873	44582
1017	93960	44488
1018	94049	44394
1019	94138	44300
1020	94227	44206
1021	94318	44113
1022	94407	44020
1023	94495	43925
1024	94586	43832
1025	94678	43740
1026	94766	43645
1027	94853	43551
1028	94941	43456
1029	95027	43362
1030	95116	43268
1031	95202	43173
1032	95292	43080
1033	95381	42986
1034	95471	42893
1035	95569	42803
1036	95657	42709
1037	95746	42615
1038	95834	42521
1039	95923	42427
1040	96012	42334
1041	96103	42241
1042	96193	42148
1043	96282	42054
1044	96372	41961
1045	96463	41868
1046	96553	41775
1047	96641	41681
1048	96730	41587
1049	96835	41500
1050	96923	41406
1051	97025	41318
1052	97113	41224
1053	97200	41130
1054	97288	41036
1055	97381	40944
1056	97468	40849
1057	97558	40756
1058	97648	40663
1059	97735	40569
1060	97823	40475
1061	97911	40381
1062	97997	40286
1063	98085	40192
1064	98185	40103
1065	98274	40010
1066	98362	39916
1067	98459	39826
1068	98545	39731
1069	98635	39638
1070	98726	39546
1071	98814	39451
1072	98903	39358
1073	99006	39270
1074	99093	39176
1075	99180	39082
1076	99269	38988
1077	99359	38895
1078	99451	38803
1079	99541	38710
1080	99633	38618
1081	99720	38524
1082	99810	38431
1083	99903	38339
1084	99995	38247
1085	100083	38153
1086	100171	38059
1087	100261	37966
1088	100349	37872
1089	100437	37779
1090	100529	37687
1091	100621	37594
1092	100711	37501
1093	100801	37409
1094	100890	37315
1095	100991	37226
1096	101080	37133
1097	101168	37039
1098	101255	36945
1099	101345	36852
1100	101432	36758
1101	101526	36667
1102	101616	36574
1103	101704	36480
1104	101792	36387
1105	101879	36293
1106	101978	36203
1107	102102	36122
1108	102226	36042
1109	102331	35954
1110	102435	35866
1111	102525	35773
1112	102627	35684
1113	102717	35591
1114	102808	35498
1115	102911	35410
1116	103001	35317
1117	103093	35225
1118	103185	35132
1119	103273	35039
1120	103372	34949
1121	103461	34856
1122	103563	34767
1123	103656	34675
1124	103746	34582
1125	103852	34494
1126	103939	34400
1127	104028	34307
1128	104118	34214
1129	104207	34121
1130	104297	34028
1131	104386	33934
1132	104473	33840
1133	104561	33747
1134	104654	33655
1135	104744	33562
1136	104832	33468
1137	104921	33375
1138	105008	33281
1139	105095	33188
1140	105183	33094
1141	105274	33001
1142	105362	32908
1143	105449	32814
1144	105554	32726
1145	105644	32633
1146	105735	32541
1147	105824	32447
1148	105914	32355
1149	106003	32261
1150	106091	32168
1151	106179	32075
1152	106268	31982
1153	106356	31888
1154	106447	31796
1155	106536	31702
1156	106624	31609
1157	106713	31516
1158	106813	31426
1159	106901	31333
1160	106990	31239
1161	107094	31151
1162	107186	31059
1163	107274	30965
1164	107367	30874
1165	107460	30781
1166	107549	30688
1167	107636	30595
1168	107724	30501
1169	107815	30409
1170	107902	30316
1171	108002	30225
1172	108089	30132
1173	108177	30039
1174	108266	29945
1175	108354	29852
1176	108442	29759
1177	108536	29667
1178	108625	29575
1179	108714	29481
1180	108818	29392
1181	108909	29300
1182	109003	29208
1183	109090	29115
1184	109179	29022
1185	109280	28932
1186	109372	28840
1187	109463	28747
1188	109565	28658
1189	109659	28566
1190	109749	28474
1191	109842	28382
1192	109935	28290
1193	110042	28201
1194	110137	28110
1195	110229	28018
1196	110321	27925
1197	110412	27833
1198	110502	27740
1199	110591	27647
1200	110695	27558
1201	110786	27466
1202	110880	27374
1203	110972	27282
1204	111064	27189
1205	111163	27099
1206	111254	27007
1207	111344	26914
1208	111434	26821
1209	111526	26729
1210	111616	26636
1211	111707	26544
1212	111796	26451
1213	111886	26358
1214	111995	26270
1215	112105	26182
1216	112198	26090
1217	112301	26000
1218	112405	25911
1219	112493	25818
1220	112583	25725
1221	112673	25632
1222	112763	25540
1223	112854	25447
1224	112947	25355
1225	113043	25264
1226	113136	25172
1227	113227	25079
1228	113331	24990
1229	113421	24897
1230	113511	24804
1231	113604	24712
1232	113696	24620
1233	113787	24527
1234	113884	24436
1235	113976	24344
1236	114071	24252
1237	114165	24161
1238	114270	24071
1239	114360	23978
1240	114450	23886
1241	114543	23794
1242	114637	23702
1243	114736	23611
1244	114834	23520
1245	114927	23428
1246	115020	23336
1247	115125	23246
1248	115230	23156
1249	115323	23064
1250	115414	22972
1251	115523	22883
1252	115614	22790
1253	115703	22697
1254	115798	22606
1255	115888	22513
1256	115979	22420
1257	116069	22328
1258	116165	22236
1259	116254	22143
1260	116343	22050
1261	116433	21958
1262	116523	21865
1263	116617	21773
1264	116720	21683
1265	116821	21592
1266	116910	21499
1267	116997	21406
1268	117088	21313
1269	117182	21222
1270	117273	21129
1271	117364	21037
1272	117456	20944
1273	117543	20851
1274	117631	20758
1275	117720	20665
1276	117809	20572
1277	117896	20479
1278	117986	20387
1279	118075	20294
1280	118169	20202
1281	118262	20110
1282	118351	20017
1283	118442	19924
1284	118531	19832
1285	118620	19739
1286	118716	19647
1287	118805	19554
1288	118894	19462
1289	118985	19369
1290	119074	19276
1291	119167	19184
1292	119259	19092
1293	119356	19001
1294	119445	18908
1295	119536	18815
1296	119637	18724
1297	119725	18632
1298	119813	18539
1299	119901	18446
1300	119990	18353
1301	120080	18261
1302	120171	18168
1303	120264	18076
1304	120355	17984
1305	120444	17891
1306	120532	17798
1307	120631	17707
1308	120721	17614
1309	120809	17521
1310	120903	17429
1311	120990	17337
1312	121080	17244
1313	121174	17152
1314	121266	17060
1315	121360	16968
1316	121451	16875
1317	121554	16785
1318	121642	16692
1319	121731	16599
1320	121817	16506
1321	121905	16413
1322	121993	16321
1323	122081	16228
1324	122170	16135
1325	122258	16043
1326	122351	15950
1327	122441	15858
1328	122530	15765
1329	122620	15673
1330	122707	15580
1331	122795	15487
1332	122883	15395
1333	122973	15302
1334	123064	15210
1335	123152	15117
1336	123240	15024
1337	123341	14933
1338	123432	14841
1339	123519	14748
1340	123608	14656
1341	123697	14563
1342	123786	14470
1343	123876	14378
1344	123964	14285
1345	124053	14193
1346	124143	14100
1347	124239	14009
1348	124333	13917
1349	124425	13825
1350	124528	13734
1351	124617	13641
1352	124707	13549
1353	124808	13457
1354	124899	13365
1355	124987	13273
1356	125088	13181
1357	125177	13089
1358	125274	12997
1359	125363	12905
1360	125455	12812
1361	125547	12720
1362	125637	12628
1363	125729	12536
1364	125819	12443
1365	125907	12351
1366	125995	12258
1367	126084	12166
1368	126175	12073
1369	126266	11981
1370	126358	11889
1371	126449	11797
1372	126546	11705
1373	126639	11613
1374	126733	11521
1375	126824	11428
1376	126912	11336
1377	127005	11244
1378	127096	11152
1379	127193	11060
1380	127288	10968
1381	127379	10876
1382	127469	10783
1383	127567	10692
1384	127660	10599
1385	127751	10507
1386	127853	10416
1387	127942	10323
1388	128038	10232
1389	128125	10139
1390	128227	10048
1391	128314	9955
1392	128401	9862
1393	128489	9770
1394	128588	9678
1395	128678	9586
1396	128780	9494
1397	128868	9402
1398	128957	9309
1399	129058	9218
1400	129147	9126
1401	129236	9033
1402	129323	8941
1403	129412	8848
1404	129502	8756
1405	129604	8664
1406	129695	8572
1407	129783	8480
1408	129884	8388
1409	129972	8296
1410	130058	8203
1411	130146	8111
1412	130235	8018
1413	130344	7927
1414	130448	7836
1415	130536	7743
1416	130637	7652
1417	130729	7559
1418	130818	7467
1419	130906	7375
1420	130995	7282
1421	131085	7190
1422	131172	7097
1423	131273	7006
1424	131362	6913
1425	131450	6821
1426	131538	6729
1427	131627	6636
1428	131721	6544
1429	131810	6452
1430	131901	6360
1431	131989	6267
1432	132079	6175
1433	132168	6083
1434	132259	5990
1435	132356	5898
1436	132453	5806
1437	132543	5714
1438	132630	5622
1439	132717	5529
1440	132808	5437
1441	132897	5345
1442	132984	5253
1443	133079	5160
1444	133167	5068
1445	133254	4976
1446	133350	4884
1447	133452	4792
1448	133542	4700
1449	133633	4608
1450	133723	4515
1451	133828	4424
1452	133932	4332
1453	134020	4239
1454	134111	4147
1455	134204	4055
1456	134293	3963
1457	134383	3871
1458	134475	3778
1459	134565	3686
1460	134652	3594
1461	134743	3502
1462	134831	3409
1463	134922	3317
1464	135012	3225
1465	135099	3133
1466	135188	3041
1467	135275	2948
1468	135363	2856
1469	135453	2764
1470	135541	2672
1471	135630	2579
1472	135722	2487
1473	135810	2395
1474	135898	2303
1475	135990	2211
1476	136079	2119
1477	136171	2026
1478	136262	1934
1479	136352	1842
1480	136449	1750
1481	136537	1658
1482	136625	1566
1483	136711	1473
1484	136799	1381
1485	136888	1289
1486	136978	1197
1487	137069	1105
1488	137157	1013
1489	137245	921
1490	137338	829
1491	137427	736
1492	137516	644
1493	137604	552
1494	137692	460
1495	137781	368
1496	137882	276
1497	137970	184
1498	138064	92
1499	138153	0
